order_book_id,date,limit_down,low,iopv,high,open,limit_up,volume,prev_close,num_trades,close,total_turnover
159915.XSHE,2024-02-29,1.55914799,1.9394838700000003,1.7584,2.01852958,1.94292064,2.33814919,1243709309.5338237,1.701,78161.0,2.01738399,2471440725.001
159915.XSHE,2024-03-01,1.6141363100000001,2.00020014,1.7749,2.04029579,2.0128016300000002,2.42063167,1124483662.430192,1.761,53774.0,2.03342225,2273286642.421
159915.XSHE,2024-03-04,1.6267378000000001,2.02425753,1.7853,2.0574796400000004,2.0311310700000003,2.4401067000000003,840342102.6425769,1.775,43298.0,2.04258697,1715526745.231
159915.XSHE,2024-03-05,1.63361134,2.02196635,1.7841,2.05518846,2.02883989,2.4515626000000004,3008439962.731445,1.783,75133.0,2.0391502000000004,6145635731.623
159915.XSHE,2024-03-06,1.63132016,2.01738399,1.783,2.0677899500000003,2.0311310700000003,2.4469802400000003,1310003701.5060284,1.78,49627.0,2.04144138,2665126135.581
159915.XSHE,2024-03-07,1.63361134,1.9933266000000003,1.7416,2.04831492,2.03800461,2.44927142,1064497549.2754914,1.782,62583.0,1.9956177800000001,2142139665.232
159915.XSHE,2024-03-08,1.59695246,1.9818707000000002,1.7584,2.01967517,1.9990545500000003,2.3942831,718189346.7507019,1.742,41279.0,2.01165604,1438428485.099
159915.XSHE,2024-03-11,1.6095539500000002,2.0162384,1.8391,2.1078856000000004,2.0162384,2.4137581300000006,1756935924.315392,1.756,94222.0,2.1078856000000004,3627820398.651
159915.XSHE,2024-03-12,1.68630848,2.09872088,1.8542,2.13423417,2.11361355,2.5294627200000006,972333948.4702593,1.84,47996.0,2.12048709,2058508901.515
159915.XSHE,2024-03-13,1.6966187900000003,2.10559442,1.8436,2.1296518100000004,2.12392386,2.54435539,780114274.2656397,1.851,34678.0,2.10903119,1650375298.174
159915.XSHE,2024-03-14,1.6874540700000003,2.0826826200000004,1.8317,2.1307974000000005,2.10903119,2.5306083100000003,722681544.7120348,1.841,37673.0,2.09872088,1520527764.472
159915.XSHE,2024-03-15,1.6794349400000002,2.0574796400000004,1.8328,2.1033032400000002,2.09070175,2.51800682,939670216.97229,1.832,57271.0,2.0998664700000003,1953112039.125
159915.XSHE,2024-03-18,1.6794349400000002,2.11705032,1.8738,2.1479812500000004,2.1193415000000004,2.5202980000000004,1240576789.1584313,1.833,55863.0,2.1479812500000004,2643711004.149
159915.XSHE,2024-03-19,1.718385,2.1216326800000003,1.8548,2.14569007,2.1422533,2.5775775000000003,689868914.1022246,1.875,34072.0,2.12277827,1474010253.765
159915.XSHE,2024-03-20,1.6977643800000002,2.1124679600000005,1.857,2.1330885800000003,2.11705032,2.5477921600000006,538696055.0276828,1.853,26240.0,2.1262150400000004,1143969188.114
